name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
